Frage,Antwort,Fundstellen im IT-Grundschutz-Kompendium 2023
Wer trägt die Verantwortung für Informationssicherheit beim Outsourcing?,Die Verantwortung für Informationssicherheit verbleibt vollständig bei der auslagernden Institution.,"OPS.2.3, Kap. 1.1
1.1. Einleitung
Beim Outsourcing lagern Institutionen (Nutzende von Outsourcing) Geschäftsprozesse oder Tätigkeiten ganz oder teilweise zu einem oder mehreren externen  Dienstleistungsunternehmen (Anbietende von Outsourcing) aus. Diese sogenannten Anbietenden von Outsourcing betreiben im Rahmen des vereinbarten Outsourcing-Verhältnisses die Geschäftsprozesse oder Tätigkeiten nach festgelegten Kriterien. Allerdings verbleibt die Verantwortung aus Sicht der Informationssicherheit stets bei der auslagernden Institution."
Welche Mindestanforderungen gelten für Outsourcing-Verträge?,"Für Outsourcing-Verträge müssen einheitliche Grundanforderungen entwickelt werden. Diese Grundanforderungen müssen den Schutz von Informationen berücksichtigen. Außerdem muss geregelt sein, dass der Dienstleister nur mit Zustimmung weitere Unternehmen einbeziehen darf. Die Organisation muss das Recht haben, Prüfungen, Kontrollen und Audits durchzuführen.

Bei der Festlegung dieser Grundanforderungen sollten die Ergebnisse der Risikobewertung berücksichtigt werden. Auch die Eignung der Dienstleister sollte dabei geprüft werden. Zusätzlich sollte mit den Dienstleistern eine Verschwiegenheitsvereinbarung abgeschlossen werden, damit sensible Informationen geschützt sind.

Die festgelegten Grundanforderungen müssen in allen Vereinbarungen und Verträgen gleich umgesetzt werden. Auf dieser Grundlage sollte eine einheitliche Vertragsvorlage erstellt werden, die für alle Outsourcing-Vorhaben verwendet wird.","OPS.2.3.A4 Grundanforderungen an Verträge mit Anbietenden von Outsourcing (B)
Einheitliche Grundanforderungen an Outsourcing-Verträge MÜSSEN entwickelt werden. Diese Grundanforderungen MÜSSEN Aspekte der Informationssicherheit, einen Zustimmungsvorbehalt bei Weiterverlagerungen sowie ein Recht auf Prüfung, Revision und Audit beinhalten. Bei der Entwicklung der Grundanforderungen SOLLTEN die Resultate der risikoorientierten Betrachtung sowie Eignungsanforderungen an Anbietende von Outsourcing mit einfließen. Mit den Anbietenden von Outsourcing SOLLTE eine Verschwiegenheitserklärung zum Schutz von sensiblen Daten vereinbart werden. Die Grundanforderungen MÜSSEN in Vereinbarungen und Verträgen einheitlich umgesetzt werden. Auf Basis der Grundanforderungen SOLLTE eine einheitliche Vertragsvorlage erstellt und für alle Outsourcing-Vorhaben genutzt werden."
Muss ich ein Sicherheitskonzept für jedes Outsourcing-Vorhaben erstellen?,"Ja, für jedes Outsourcing-Vorhaben muss die nutzende Organisation ein eigenes Sicherheitskonzept erstellen. Dieses Sicherheitskonzept muss sich an den Anforderungen des IT-Grundschutzes orientieren. Das Sicherheitskonzept der Organisation muss mit dem Dienstleister abgestimmt werden. Außerdem sollte jeder Dienstleister ein eigenes Sicherheitskonzept für die konkrete ausgelagerte Leistung vorlegen.

Die Sicherheitskonzepte der Organisation und des Dienstleisters sowie deren Umsetzung sollten zu einem gemeinsamen Sicherheitskonzept zusammengeführt werden. Wenn Risikoanalysen erforderlich sind, muss vereinbart werden, wie diese geprüft werden und wie die Ergebnisse in das eigene Risikomanagement übernommen werden können.

Die nutzende Organisation oder unabhängige externe Stellen müssen regelmäßig prüfen, ob das Sicherheitskonzept wirksam ist und in der Praxis eingehalten wird.","OPS.2.3.A6 Festlegung von Sicherheitsanforderungen und Erstellung eines Sicherheitskonzeptes für das Outsourcing-Vorhaben (B)
Mit den Anbietenden von Outsourcing MUSS vertraglich vereinbart werden, dass IT-Grundschutz umgesetzt oder mindestens die Anforderungen aus den relevanten Bausteinen geeignet erfüllt werden. Darüber hinaus SOLLTE mit den Anbietenden von Outsourcing vereinbart werden, dass sie ein Managementsystem für Informationssicherheit (ISMS) etablieren. Die Nutzenden von Outsourcing MÜSSEN für jedes Outsourcing-Vorhaben ein Sicherheitskonzept basierend auf den sich aus dem IT- Grundschutz ergebenen Sicherheitsanforderungen erstellen. Dabei MUSS das Sicherheitskonzept der Nutzenden mit den Anbietenden von Outsourcing abgestimmt werden. Ebenso SOLLTE jeder Anbietende ein individuelles Sicherheitskonzept für das jeweilige Outsourcing-Vorhaben vorlegen. Das Sicherheitskonzept der Anbietenden von Outsourcing und dessen Umsetzung SOLLTE zu einem gesamten Sicherheitskonzept zusammengeführt werden. Wenn Risikoanalysen notwendig sind, MÜSSEN Vereinbarungen getroffen werden, wie die Risikoanalyse geprüft und gegebenenfalls in das eigene Risikomanagement überführt werden kann. Die Nutzenden von Outsourcing oder unabhängige Dritte MÜSSEN regelmäßig überprüfen, ob das Sicherheitskonzept wirksam ist."
Was soll in Bezug auf Mandanten bedacht werden?,"In einer Vereinbarung zur Mandantenfähigkeit muss festgelegt werden, dass die Daten und Arbeitsbereiche der Organisation beim Dienstleister sicher von den Daten anderen Kunden getrennt sind. In dieser Vereinbarung sollte der Dienstleister ein Konzept vorlegen, das zeigt, wie diese Trennung funktioniert. Das Manadantentrennungskonzept sollte erklären, welche Daten und Objekte kundenübergreifend genutzt werden, und wie der Dienstleister mandantenabhängige Daten sicher voneinander trennt.","OPS.2.3.A5 Vereinbarung der Mandantenfähigkeit (B)
In einer Vereinbarung zur Mandantenfähigkeit mit den Anbietenden von Outsourcing MUSS sichergestellt werden, dass die Daten und Verarbeitungskontexte durch den Anbietenden von Outsourcing ausreichend sicher getrennt sind. In dieser Vereinbarung SOLLTE ein Mandantentrennungskonzept von den Anbietenden von Outsourcing gefordert werden. Das Mandantentrennungskonzept SOLLTE zwischen mandantenabhängigen und mandantenübergreifenden Daten und Objekten unterscheiden und darlegen, mit welchen Mechanismen die Anbietenden von Outsourcing trennen."
Was ist bei der Beendigung eines Outsourcing-Verhältnisses zu regeln?,"Für die Beendigung eines Outsourcing-Verhältnisses – egal, ob geplant oder ungeplant – müssen klare Regeln festgelegt werden. Es muss genau festgelegt sein, wie der Dienstleister alle Informationen, Daten und gegebenenfalls Hardware an die Organisation zurückgibt. Dabei müssen die gesetzlichen Vorschriften zur Aufbewahrung von Daten eingehalten werden. Außerdem sollte geprüft werden, dass mit dem Ende des Outsourcing alle Zugangs-, Zutritts- und Zugriffsrechte des Dienstleisters aufgehoben werden.tzt wird.","OPS.2.3.A7 Regelungen für eine geplante oder ungeplante Beendigung eines Outsourcing-Verhältnisses (B) [Fachverantwortliche, Institutionsleitung]
Für geplante sowie ungeplante Beendigungen des Outsourcing-Verhältnisses MÜSSEN Regelungen getroffen werden. Es MUSS festgelegt werden, wie alle Informationen, Daten und Hardware der Nutzenden vom Anbietenden von Outsourcing zurückgegeben werden. Hierbei MÜSSEN gesetzliche Vorgaben zur Aufbewahrung von Daten beachtet werden. Ferner SOLLTE überprüft werden, ob die Zugangs-, Zutritts- und Zugriffsrechte für die Anbietenden von Outsourcing mit der Beendigung des Outsourcing-Verhältnisses aufgehoben wurden."
Muss es eine zentrale Stelle für Outsourcing geben?,"Ja, für die Verwaltung von Outsourcing-Vorhaben sollte eine zuständige Person benannt werden. Ihre Aufgaben und Befugnisse müssen festgelegt und dokumentiert sein. Sie sollte als Ansprechpartner zwischen der Organisation und dem Dienstleister fungieren und regelmäßig Berichte über die Outsourcing-Vorhaben erstellen und der Leitung der Organisation übergeben. Auch bei der Vertragsgestaltung sollte diese Person einbezogen werden und zu Fragen Informationssicherheit geschult und dafür sensibilisiert sein.","OPS.2.3.A10 Etablierung einer zuständigen Person für das Auslagerungsmanagement (S) [Personalabteilung]
Die verschiedenen Outsourcing-Vorhaben SOLLTEN durch eine zuständige Person für das Auslagerungsmanagement verwaltet werden. Die zuständige Person SOLLTE ernannt und die Befugnisse festgelegt und dokumentiert werden. Die zuständige Person SOLLTE als Schnittstelle in der Kommunikation zwischen den Nutzenden und Anbietenden von Outsourcing eingesetzt werden. Darüber hinaus SOLLTE die zuständige Person Berichte über das Outsourcing in regelmäßigen Abständen und anlassbezogen anfertigen und der Institutionsleitung übergeben. In der Vertragsgestaltung SOLLTE die zuständige Person einbezogen werden. Die zuständige Person SOLLTE ein angemessenes Kontingent von Arbeitstagen für die Aufgaben des Auslagerungsmanagements eingeräumt bekommen. Darüber hinaus SOLLTE die zuständige Person hinsichtlich Informationssicherheit geschult und sensibilisiert sein."
Wie ist Outsourcing im Notfallmanagement zu berücksichtigen?,"Ein Notfallkonzept sollte in der Organisation vorhanden sein und auf einer Business-Impact-Analyse basieren. Es muss die Abhängigkeiten zwischen ausgelagerten und internen Prozessen berücksichtigen. Dienstleister sollten in das Notfallkonzept einbezogen und abgestimmt werden. Verantwortliche für die Schnittstellen zu den Dienstleistern sollten benannt sein, um im Notfall Informationen auszutauschen und effektiv zusammenzuarbeiten. Für Störungen oder Ausfälle der Dienstleister sollten gemeinsame Notfall- und Krisenpläne erstellt werden, und standardisierte Protokolle für die Meldung von Sicherheitsvorfällen sollten genutzt werden.","OPS.2.3.A20 Etablierung sowie Einbeziehung von Anbietenden von Outsourcing im Notfallkonzept (S) [Notfallbeauftragte]
Ein Notfallkonzept SOLLTE in der Institution etabliert sein. Dies SOLLTE auf der Basis einer Business- Impact-Analyse basieren und die Abhängigkeiten der ausgelagerten Prozesse mit den intern verbliebenen Prozessen berücksichtigen. Das Notfallkonzept SOLLTE den Anbietenden von Outsourcing in seiner Notfallvorsorge und -bewältigung berücksichtigen und mit diesem abgestimmt sein. Dabei SOLLTEN die Schnittstellen zu Anbietenden von Outsourcing mit Verantwortlichen benannt und besetzt werden, um einen Informationsaustausch sowie eine effektive Kollaboration in einer Not- oder Krisensituation zu ermöglichen. Gemeinsame Not- und Krisenfallpläne SOLLTEN für eine Störung oder einen Ausfall der Anbietenden von Outsourcing erstellt werden. Standardisierte Protokolle und Berichte SOLLTEN zur Meldung von Sicherheitsvorfällen etabliert werden."
Welche Risiken entstehen durch eine unzureichende Outsourcing-Strategie?,"Eine fehlende oder unzureichende Strategie kann dazu führen, dass Informationssicherheit im gesamten Outsourcing-Lebenszyklus nicht angemessen berücksichtigt wird. Dadurch können Prozesse beeinträchtigt werden,ausfallen oder Informationen an unbefugte Dritte abfließen.","2.1. Unzureichende Strategie für das Outsourcing
Eine unzureichende Strategie führt dazu, dass die Informationssicherheit in Outsourcing-Vorhaben nicht angemessen berücksichtigt wird. Hierdurch wird die Informationssicherheit nicht angemessen in den einzelnen Phasen des Outsourcing-Lebenszyklus beachtet und somit kein ausreichendes Niveau der Informationssicherheit in der eigenen Institution sowie bei Anbietenden von Outsourcing angestrebt und umgesetzt. Dadurch können Prozesse beeinträchtigt, ausfallen und Informationen an unbefugte Dritte abfließen."
Warum ist Abhängigkeit von Outsourcing-Anbietenden kritisch?,"Wenn eine Organisation Prozesse an externe Dienstleister auslagert, wird sie von diesen abhängig. Dadurch kann Wissen in der Organisation verloren gehen und die ausgelagerten Prozesse lassen sich nicht mehr vollständig kontrollieren. Auch der Schutzbedarf der Daten und Prozesse kann unterschiedlich bewertet werden, was zu ungeeigneten Sicherheitsmaßnahmen führen kann. Dienstleister, die ganze Geschäftsprozesse übernehmen, haben die volle Kontrolle über die Prozesse, Informationen, Ressourcen und IT-Systeme, während das Wissen der Organisation abnimmt. Dadurch können Sicherheitsmängel unbemerkt bleiben, und die Dienstleister könnten dies ausnutzen, etwa durch höhere Preise oder schlechtere Qualität.","OPS.2.3 Nutzung von Outsourcing
2.3. Abhängigkeit von Anbietenden von Outsourcing
Entscheidet sich eine Institution für Outsourcing, macht sie sich damit auch von Anbietenden von Outsourcing abhängig. Mit dieser Abhängigkeit kann Wissen verloren gehen und die ausgelagerten Prozesse können nicht mehr vollständig kontrolliert werden. Außerdem könnte der Schutzbedarf der ausgelagerten Geschäftsprozesse und Informationen unterschiedlich eingeschätzt werden. Dies kann dazu führen, dass für den Schutzbedarf entsprechend ungeeignete Sicherheitsmaßnahmen umgesetzt werden. Häufig lagern Institutionen gesamte Geschäftsprozesse an Anbietende von Outsourcing aus. Die Anbietenden von Outsourcing können dadurch die Geschäftsprozesse mit schutzbedürftigen Informationen, Ressourcen und IT-Systemen vollständig kontrollieren. Gleichzeitig nimmt das Wissen über diese Bereiche bei Nutzenden von Outsourcing ab. Als Folge ist es möglich, dass die Nutzenden von Outsourcing Defizite der Informationssicherheit nicht mehr bemerken. Diese Situation könnte von Anbietenden von Outsourcing ausgenutzt werden, z. B. indem sie drastisch die Preise erhöhen oder die Qualität der Dienstleistungen abnimmt."
Welche Risiken entstehen durch unzulängliche vertragliche Regelungen beim Outsourcing?,"Unklare oder unvollständige Verträge mit externen Dienstleistern können zu Sicherheitsproblemen während des gesamten Outsourcing-Prozesses führen. Verträge legen fest, wie Aufgaben, Leistungen und Aufwände umgesetzt werden sollen, und bilden die Grundlage für Ansprüche der Organisation gegenüber dem Dienstleister. Werden diese Punkte nicht klar geregelt, können wichtige Sicherheitsmaßnahmen aus Unkenntnis oder fehlenden Ressourcen nicht umgesetzt werden. Das kann dazu führen, dass gesetzliche Vorgaben, regulatorische Pflichten oder Auskunftsrechte verletzt werden und die Daten und Prozesse der Organisation nicht ausreichend geschützt sind","2.6. Unzulängliche vertragliche Regelungen mit Anbietenden von Outsourcing
Unzulängliche vertragliche Regelungen mit den Anbietenden von Outsourcing können zu Schwachstellen in der Informationssicherheit entlang des gesamten Outsourcing-Lebenszyklus führen. Die vertraglichen Regelungen definieren den gesamten Outsourcing-Prozess und stellen den Ausgangspunkt für Ansprüche der Nutzenden gegenüber den Anbietenden von Outsourcing dar. Aufgrund von unzulänglichen vertraglichen Regelungen mit den Anbietenden von Outsourcing können vielfältige und auch schwerwiegende Sicherheitsprobleme auftreten. Wenn Aufgaben, Leistungsparameter oder Aufwände ungenügend oder missverständlich beschrieben wurden, können möglicherweise aus Unkenntnis oder wegen fehlender Ressourcen Sicherheitsmaßnahmen nicht umgesetzt werden. Dies kann viele negative Auswirkungen nach sich ziehen, etwa, wenn regulatorische Anforderungen und Pflichten nicht erfüllt oder Auskunftspflichten und Gesetze nicht eingehalten werden. Wird bei der Vertragsgestaltung der Aspekt der  Informationssicherheit nicht berücksichtigt, so können Prozesse und Daten der Nutzenden von Outsourcing unzureichend abgesichert werden."
Welche Risiken bestehen für die Reputation einer Organisation durch einen erfolgreichen Webserver-Angriff?,"Bei einem erfolgreichen Angriff auf einen Webserver mit administrativen Rechten kann eine manipulierte Webseite ausgeliefert werden (Defacement), was die Reputation der Institution schädigt. Auch die Veröffentlichung falscher Informationen oder die Bereitstellung rechtswidriger Inhalte kann zu öffentlichen Schäden, Abmahnungen oder Kundenverlust führen, insbesondere wenn die Webseite nicht verfügbar ist.","APP.3.2 Webserver 2.1. Reputationsverlust
Gelingt es bei einem Angriff mit administrativen Rechten auf einen Webserver zuzugreifen, kann darüber eine manipulierte Webseite ausgeliefert werden (Defacement). So kann die Reputation der Institution geschädigt werden. Ebenso kann die Veröffentlichung falscher Informationen, wie zum Beispiel fehlerhafter Produktbeschreibungen, dazu führen, dass die Reputation der Institution in der Öffentlichkeit leidet. Auch kann die Institution abgemahnt werden, wenn auf ihrer Webseite Inhalte veröffentlicht werden, die gegen gesetzliche Vorschriften verstoßen. Ein Schaden kann auch entstehen, wenn die Webseite nicht verfügbar ist und potenzielle Kunden und Kundinnen deshalb zu Mitbewerbern wechseln."
Wie kann ein Angriff auf einen Webserver zur Manipulation von Inhalten führen?,"Bei einem unbefugten Zugriff können Angreifer die Konfiguration des Webservers ändern, Schadsoftware verbreiten oder Webinhalte manipulieren. Dies kann zu einer Verfälschung von Informationen, zur Auslieferung von schädlichen Inhalten oder zur Beeinträchtigung der Integrität des Webangebots führen.","2.2. Manipulation des Webservers
Bei einem Angriff könnten sich unberechtigte Personen Zugriff auf einen Webserver verschaffen und dessen Dateien manipulieren. Es könnte beispielsweise die Konfiguration der Webserver-Software geändert werden, Schadsoftware verbreitet oder Webinhalte modifiziert werden."
Welche Auswirkungen haben Denial-of-Service (DoS)-Angriffe auf einen Webserver?,"DoS- und DDoS-Angriffe können die Verfügbarkeit eines Webangebots erheblich beeinträchtigen. Durch Überlastung kann der Webserver teilweise oder vollständig außer Betrieb gehen, wodurch Clients das Angebot nicht mehr nutzen können. Für geschäftskritische Angebote wie Online-Shops kann ein solcher Ausfall schnell zu erheblichen wirtschaftlichen Schäden führen.","APP.3.2 Webserver 2.3. Denial of Service (DoS)
Durch DoS-Angriffe lässt sich die Verfügbarkeit eines Webangebotes gezielt beeinträchtigen, indem beispielsweise einzelne Accounts durch fehlerhafte Anmeldungen gesperrt werden. Durch DDoS (Distributed Denial of Service)-Angriffe kann ein Webserver teilweise oder auch ganz ausfallen. Für Clients ist das Webangebot dann nur noch sehr langsam oder gar nicht mehr verfügbar. Für viele Institutionen kann ein solcher Ausfall schnell geschäftskritisch werden, z. B. für Online-Shops."
Wer trägt die Gesamtverantwortung für Informationssicherheit in der Organisastion?,"Die Institutionsleitung MUSS die Gesamtverantwortung für Informationssicherheit übernehmen. Sie muss den Sicherheitsprozess initiieren, steuern und kontrollieren sowie Informationssicherheit vorleben.","ISMS.1.A1 Übernahme der Gesamtverantwortung für Informationssicherheit  durch die Leitung (B) [Institutionsleitung]  
Die Institutionsleitung MUSS die Gesamtverantwortung für Informationssicherheit in der Institution  übernehmen. Dies MUSS für alle Beteiligten deutlich erkennbar sein. Die Institutionsleitung MUSS den Sicherheitsprozess initiieren, steuern und kontrollieren. Die Institutionsleitung MUSS Informationssicherheit vorleben. Die Institutionsleitung MUSS die Zuständigkeiten für Informationssicherheit festlegen. Die zuständigen Mitarbeitenden MÜSSEN mit den erforderlichen Kompetenzen und Ressourcen ausgestattet werden. Die Institutionsleitung MUSS sich regelmäßig über den Status der Informationssicherheit informieren lassen. Insbesondere MUSS sich die Institutionsleitung über mögliche Risiken und Konsequenzen aufgrund fehlender Sicherheitsmaßnahmen informieren lassen. "
